StartSample,EndSample,StartTimeFromEpochSeconds,StartTimeRelativeToStimulusSeconds,MeanAbsoluteDifferenceHz,GroupAMeanAbsoluteDifferenceHz,GroupBMeanAbsoluteDifferenceHz,RootMeanSquaredDifferenceHz,MaximumAbsoluteDifferenceHz,MatchingPercentage
97,1346,0.384,-0.116,0.189428571428571,0.0743333333333333,0.25337037037037,0.399000367983281,1.94,50.8928571428571
99,1348,0.392,-0.108,0.189666666666667,0.0726666666666666,0.254666666666667,0.397513232284499,1.94,50.8928571428571
90,1339,0.356,-0.144,0.190619047619048,0.0626666666666666,0.261703703703704,0.402695412487025,1.94,52.6785714285714
98,1347,0.388,-0.112,0.191452380952381,0.0726666666666666,0.257444444444444,0.400363059441152,1.94,50.8928571428571
101,1350,0.4,-0.1,0.192642857142857,0.0726666666666666,0.259296296296296,0.400779132064548,1.94,51.7857142857143
96,1345,0.38,-0.12,0.193416666666667,0.0793333333333333,0.256796296296296,0.406452060860537,1.94,52.6785714285714
88,1337,0.348,-0.152,0.193892857142857,0.0588333333333333,0.268925925925926,0.409484412556796,1.94,55.3571428571429
85,1334,0.336,-0.164,0.194369047619048,0.0588333333333333,0.269666666666667,0.408742389861684,1.94,54.4642857142857
84,1333,0.332,-0.168,0.195559523809524,0.0588333333333333,0.271518518518518,0.410038838655985,1.94,54.4642857142857
82,1331,0.324,-0.176,0.195678571428571,0.0571666666666666,0.27262962962963,0.409811348390746,1.94,54.4642857142857
180,1429,0.716,0.216,0.19597619047619,0.0443333333333333,0.280222222222222,0.394582489816567,1.77,51.7857142857143
86,1335,0.34,-0.16,0.196452380952381,0.0588333333333333,0.272907407407407,0.410628757140164,1.94,54.4642857142857
87,1336,0.344,-0.156,0.196452380952381,0.0588333333333333,0.272907407407407,0.410628757140164,1.94,54.4642857142857
83,1332,0.328,-0.172,0.196571428571429,0.0588333333333333,0.273092592592593,0.41032665075213,1.94,54.4642857142857
70,1319,0.276,-0.224,0.196630952380952,0.0585,0.27337037037037,0.403352646133451,1.77,53.5714285714286
78,1327,0.308,-0.192,0.196869047619048,0.0585,0.273740740740741,0.410483773822338,1.94,53.5714285714286
81,1330,0.32,-0.18,0.196928571428571,0.0593333333333333,0.27337037037037,0.411099599795939,1.94,53.5714285714286
181,1430,0.72,0.22,0.197166666666667,0.046,0.281148148148148,0.395027254434465,1.77,50.8928571428571
69,1318,0.272,-0.228,0.19722619047619,0.0585,0.274296296296296,0.405266549557789,1.77,53.5714285714286
89,1338,0.352,-0.148,0.197285714285714,0.0626666666666666,0.272074074074074,0.410295218917631,1.94,52.6785714285714
79,1328,0.312,-0.188,0.197345238095238,0.0585,0.274481481481481,0.411213004318486,1.94,53.5714285714286
80,1329,0.316,-0.184,0.197642857142857,0.0593333333333333,0.274481481481481,0.41127331313281,1.94,53.5714285714286
76,1325,0.3,-0.2,0.198952380952381,0.0643333333333333,0.273740740740741,0.411413195534997,1.94,53.5714285714286
77,1326,0.304,-0.196,0.198952380952381,0.0643333333333333,0.273740740740741,0.411413195534997,1.94,53.5714285714286
71,1320,0.28,-0.22,0.199607142857143,0.0585,0.278,0.415434969984129,1.94,53.5714285714286
72,1321,0.284,-0.216,0.200202380952381,0.0585,0.278925925925926,0.419864991528361,1.94,53.5714285714286
75,1324,0.296,-0.204,0.201035714285714,0.0643333333333333,0.276981481481481,0.412710869622744,1.94,53.5714285714286
67,1316,0.264,-0.236,0.201214285714286,0.0609999999999999,0.279111111111111,0.403325590244447,1.77,52.6785714285714
68,1317,0.268,-0.232,0.201809523809524,0.0585,0.281425925925926,0.407656027194418,1.77,52.6785714285714
186,1435,0.74,0.24,0.201928571428571,0.0476666666666667,0.28762962962963,0.399698427984566,1.77,50.8928571428571
187,1436,0.744,0.244,0.20222619047619,0.0476666666666667,0.288092592592592,0.400206920686136,1.77,50.8928571428571
188,1437,0.748,0.248,0.20222619047619,0.0476666666666667,0.288092592592592,0.400206920686136,1.77,50.8928571428571
185,1434,0.736,0.236,0.202821428571428,0.0476666666666667,0.289018518518518,0.401889021639414,1.77,50.8928571428571
190,1439,0.756,0.256,0.202821428571429,0.051,0.287166666666667,0.399243958119892,1.77,50.8928571428571
62,1311,0.244,-0.256,0.203595238095238,0.0579999999999999,0.284481481481481,0.402051909702265,1.77,51.7857142857143
66,1315,0.26,-0.24,0.203892857142857,0.0609999999999999,0.283277777777778,0.404563384089603,1.77,51.7857142857143
73,1322,0.288,-0.212,0.203892857142857,0.0609999999999999,0.283277777777778,0.421995570953964,1.94,53.5714285714286
61,1310,0.24,-0.26,0.204190476190476,0.0579999999999999,0.285407407407407,0.398801408588364,1.77,50.8928571428571
189,1438,0.752,0.252,0.204309523809524,0.051,0.289481481481481,0.402769312445249,1.77,50.8928571428571
74,1323,0.292,-0.208,0.205083333333333,0.0643333333333333,0.283277777777778,0.422653306458517,1.94,53.5714285714286
183,1432,0.728,0.228,0.2055,0.051,0.291333333333333,0.402818571552134,1.77,50.8928571428571
184,1433,0.732,0.232,0.2055,0.051,0.291333333333333,0.402818571552134,1.77,50.8928571428571
182,1431,0.724,0.224,0.205797619047619,0.051,0.291796296296296,0.402978622064831,1.77,50.8928571428571
191,1440,0.76,0.26,0.205797619047619,0.051,0.291796296296296,0.405090260371215,1.77,50
64,1313,0.252,-0.248,0.206452380952381,0.0609999999999999,0.287259259259259,0.41700807917262,1.77,51.7857142857143
210,1459,0.836,0.336,0.207345238095238,0.0510000000000001,0.294203703703704,0.400328367202852,1.77,50
65,1314,0.256,-0.244,0.207642857142857,0.0609999999999999,0.289111111111111,0.417426573716198,1.77,51.7857142857143
192,1441,0.764,0.264,0.207880952380952,0.0651666666666667,0.287166666666667,0.404980040660442,1.77,49.1071428571429
211,1460,0.84,0.34,0.207940476190476,0.0526666666666667,0.294203703703704,0.401348055812859,1.77,50
195,1444,0.776,0.276,0.208297619047619,0.0635,0.288740740740741,0.402855511929604,1.77,49.1071428571429
59,1308,0.232,-0.268,0.208357142857143,0.0579999999999999,0.291888888888889,0.402278855742851,1.77,50.8928571428571
60,1309,0.236,-0.264,0.208357142857143,0.0579999999999999,0.291888888888889,0.402278855742851,1.77,50.8928571428571
63,1312,0.248,-0.252,0.209130952380952,0.0609999999999999,0.291425925925926,0.417371907923628,1.77,50.8928571428571
215,1464,0.856,0.356,0.209190476190476,0.0695000000000001,0.286796296296296,0.402012427747566,1.77,50
216,1465,0.86,0.36,0.209190476190476,0.0695000000000001,0.286796296296296,0.402012427747566,1.77,50
196,1445,0.78,0.28,0.209785714285714,0.0635,0.291055555555555,0.405591993362005,1.77,49.1071428571429
197,1446,0.784,0.284,0.209785714285714,0.0635,0.291055555555555,0.405591993362005,1.77,49.1071428571429
194,1443,0.772,0.272,0.209904761904762,0.0635,0.291240740740741,0.405366902197041,1.77,48.2142857142857
214,1463,0.852,0.352,0.210380952380952,0.0695000000000001,0.288648148148148,0.402397211562177,1.77,50
56,1305,0.22,-0.28,0.210440476190476,0.0638333333333333,0.291888888888889,0.402990931009856,1.77,50
58,1307,0.228,-0.272,0.211333333333333,0.0563333333333333,0.297444444444444,0.407453990001637,1.77,50.8928571428571
193,1442,0.768,0.268,0.211392857142857,0.0651666666666667,0.29262962962963,0.405931840005386,1.77,48.2142857142857
198,1447,0.788,0.288,0.211571428571428,0.0635,0.293833333333333,0.406939925756374,1.77,49.1071428571429
55,1304,0.216,-0.284,0.211630952380952,0.0613333333333333,0.29512962962963,0.404649201396069,1.77,50
199,1448,0.792,0.292,0.211869047619048,0.0635,0.294296296296296,0.407000867749943,1.77,49.1071428571429
222,1471,0.884,0.384,0.212166666666667,0.0695000000000001,0.291425925925926,0.404482453952647,1.77,49.1071428571429
200,1449,0.796,0.296,0.212404761904762,0.0635,0.295129629629629,0.407044740335655,1.77,48.2142857142857
207,1456,0.824,0.324,0.212404761904762,0.0635,0.295129629629629,0.407044740335655,1.77,48.2142857142857
208,1457,0.828,0.328,0.212404761904762,0.0635,0.295129629629629,0.408941364601992,1.77,49.1071428571429
213,1462,0.848,0.348,0.212702380952381,0.0693333333333334,0.292351851851852,0.405557748417642,1.77,49.1071428571429
204,1453,0.812,0.312,0.212761904761905,0.0635,0.295685185185185,0.410145280106514,1.77,49.1071428571429
209,1458,0.832,0.332,0.213,0.0635,0.296055555555555,0.409794402573964,1.77,50
205,1454,0.816,0.316,0.213059523809524,0.0635,0.296148148148148,0.410205745898633,1.77,49.1071428571429
206,1455,0.82,0.32,0.213059523809524,0.0635,0.296148148148148,0.410205745898633,1.77,49.1071428571429
202,1451,0.804,0.304,0.213297619047619,0.0635,0.296518518518518,0.410188816375294,1.77,48.2142857142857
203,1452,0.808,0.308,0.213297619047619,0.0635,0.296518518518518,0.410188816375294,1.77,48.2142857142857
201,1450,0.8,0.3,0.213595238095238,0.0635,0.296981481481481,0.410249275750693,1.77,48.2142857142857
217,1466,0.864,0.364,0.213654761904762,0.0695000000000001,0.293740740740741,0.407500248320111,1.77,50
218,1467,0.868,0.368,0.213654761904762,0.0695000000000001,0.293740740740741,0.407500248320111,1.77,50
219,1468,0.872,0.372,0.213654761904762,0.0695000000000001,0.293740740740741,0.407500248320111,1.77,50
220,1469,0.876,0.376,0.213952380952381,0.0695000000000001,0.294203703703704,0.407512420689079,1.77,50
212,1461,0.844,0.344,0.214488095238095,0.0693333333333334,0.295129629629629,0.410053355026213,1.77,49.1071428571429
221,1470,0.88,0.38,0.214547619047619,0.0695000000000001,0.295129629629629,0.407609786554786,1.77,49.1071428571429
57,1306,0.224,-0.276,0.215202380952381,0.0638333333333333,0.299296296296296,0.409166913975291,1.77,50
223,1472,0.888,0.388,0.217464285714286,0.076,0.296055555555555,0.41111649181378,1.77,47.3214285714286
